ABV71708.1	ABV71708.1
QTE03988.1	QTE03988.1
QTE03988.1	QTE03984.1
QTE03988.1	QTE03942.1
QTE03892.1	QTE03892.1
QTE03892.1	QTE03833.1
QTE03726.1	QTE03726.1
QRG24234.1	QRG24234.1
QRQ90258.1	QRQ90258.1
QRK03711.1	QRK03711.1
QRK03711.1	QRK03715.1
QRK03711.1	QRK03705.1
QBG39283.1	QBG39283.1
QBG39283.1	ADM26655.1
QBG39283.1	ADM26653.1
QBG39283.1	ADM26654.1
QBG39283.1	ABW71807.1
QBG39283.1	UAJ21553.1
QBG39283.1	ACX46997.1
QBG39283.1	ABY87933.1
QBG39283.1	AIU68706.1
QBG39283.1	ABY87932.1
QBG39283.1	AIU68694.1
QBG39283.1	ABY87929.1
QBG39283.1	ABG54442.1
QBG39283.1	AFJ44983.1
QBG39283.1	ABG54440.1
QBG39283.1	AFJ44980.1
QBG39283.1	ABG54436.1
QBG39283.1	AFJ44979.1
QBG39283.1	AFJ44975.1
QBG39283.1	ACX49761.1
QBG39283.1	AKN78235.1
QBG39283.1	AFJ44974.1
QBG39283.1	AFJ44972.1
QBG39283.1	AFJ44969.1
QBG39283.1	ABY76223.1
QBG39283.1	ABY76221.1
QBG39283.1	ABY76219.1
QBG39283.1	ABY76215.1
QBG39283.1	QBL89741.1
QBG39283.1	ADD73508.1
QBG39283.1	ABY76213.1
QBG39283.1	QBL89740.1
QBG39283.1	ADD73506.1
QBG39283.1	ABY56801.1
QBG39283.1	QBL89739.1
QBG39283.1	ADD73500.1
QBG39283.1	QBQ56783.1
QBG39283.1	AEO51790.1
QBG39283.1	QBQ56782.1
QBG39283.1	QCX19716.1
QBG39283.1	AWX34111.1
QBG39283.1	AWX34110.1
QBG39283.1	ABR26407.1
QBG39283.1	ASF89898.1
QBG39283.1	ABR26405.1
QBG39283.1	ABR26395.1
QBG39283.1	ABR26391.1
QBG39283.1	ABY87941.1
QBG39283.1	ABY87940.1
QBG39283.1	ABY87937.1
QBG39283.1	ABY87936.1
QBG39283.1	AIU68718.1
QBG39283.1	QBA84443.1
QBG39283.1	UAJ21549.1
QMI57921.1	QMI57921.1
QMI57921.1	QMI57864.1
QMI57921.1	QMI57890.1
QMI57889.1	QMI57889.1
QMI57889.1	QMI57940.1
QMI57889.1	QMI57904.1
QMI57889.1	QMI57884.1
QMI57824.1	QMI57824.1
QMI57791.1	QMI57791.1
QMI57791.1	QMI57811.1
QLJ83486.1	QLJ83486.1
QKK82944.1	QKK82944.1
QKE54871.1	QKE54871.1
QIC35230.1	QIC35230.1
QHA33823.1	QHA33823.1
QGL40395.1	QGL40395.1
AAV90985.1	AAV90985.1
AAV90985.1	AAV90984.1
AAV90985.1	AAV90982.1
AAV90985.1	AAV90981.1
AAT84696.1	AAT84696.1
AAT84696.1	AAT84691.1
AKI82161.1	AKI82161.1
AKI82161.1	AKI82150.1
ALE30777.1	ALE30777.1
AAA47139.1	AAA47139.1
AAA47139.1	AAA47134.1
AFH02727.1	AFH02727.1
ACD71482.1	ACD71482.1
ACF32341.1	ACF32341.1
ACF32341.1	QQY96824.1
ACF32341.1	AOS51055.1
ACF32341.1	AAM28235.1
ACF32341.1	AFX58965.1
ACF32341.1	QLG20173.1
ACF32341.1	ANN89696.1
ACF32341.1	AGW23424.1
ACF32341.1	AIU96358.1
ACF32341.1	ABR23510.1
ACF32341.1	UHK08469.1
ACF32341.1	ALS03956.1
ACF32341.1	AGK30042.1
ACF32341.1	AIJ19290.1
ACF32341.1	AIY34703.1
ACF32341.1	ALE60552.1
ACF32341.1	AIY34701.1
ACF32341.1	ALE60549.1
ACF32341.1	AJD76762.1
ACF32341.1	YP_009508779.1
ACF32341.1	AIY51523.1
ACF32341.1	AGO44086.1
ACF32341.1	ALE60545.1
ACF32341.1	AKE98353.1
ACF32341.1	AAR11282.1
ACF32341.1	AAR15378.1
ACF32341.1	AKE98350.1
ACF32341.1	AIY51520.1
ACF32341.1	ALE60542.1
ACF32341.1	AAR11284.1
ACF32341.1	AKS11058.1
ACF32341.1	AKE98347.1
ACF32341.1	AIY51517.1
ACF32341.1	ACV52074.1
ACF32341.1	ALE60539.1
ACF32341.1	ALE60536.1
ACF32341.1	AIY51514.1
AGK07388.1	AGK07388.1
AGK07388.1	AFV32422.1
AGK07388.1	APG80613.1
AGK07388.1	AFV32429.1
AGK07388.1	QSV11127.1
AGK07388.1	ANJ16150.1
AGK07388.1	QSV11124.1
AGK07388.1	AOP17800.1
AGK07388.1	AOP17799.1
AGK07388.1	AOP17798.1
AGK07388.1	AOP17796.1
AGK07388.1	QSV11122.1
AGK07388.1	AGK07405.1
AGK07388.1	AGK07398.1
AGK07388.1	QSV11135.1
AGK07388.1	QSV11133.1
AGK07388.1	AGK07391.1
AGK07388.1	AFV32426.1
AGK07388.1	QSV11123.1
AGK07388.1	AOP17801.1
AGK07388.1	AFV32425.1
AGK07388.1	QSV11151.1
AGK07388.1	QSV11150.1
AGK07388.1	QSV11148.1
AGK07388.1	QSV11145.1
AGK07388.1	AGK07404.1
AGK07388.1	QSV11143.1
AGK07388.1	QAV56749.1
AGK07388.1	QSV11134.1
AGK07388.1	AOP17806.1
AGK07388.1	AFV32424.1
AGK07388.1	QSV11153.1
AGK07388.1	AFV32427.1
AGK07388.1	AFV32418.1
AGK07388.1	AFV32417.1
AGK07388.1	AGK07401.1
AGK07388.1	ALJ93788.1
AGK07388.1	AOP17809.1
AGK07388.1	AGK07396.1
AGK07388.1	AOP17808.1
AGK07388.1	ALJ93782.1
AGK07388.1	AFX88487.1
AGK07388.1	AOP17807.1
AGK07388.1	ALJ93779.1
AGK07388.1	AFV32433.1
AGK07388.1	APG80615.1
AGK07388.1	AOP17802.1
AGK07388.1	QSV11152.1
AGK07388.1	AGK07386.1
AGK07388.1	AGK07384.1
AGK07388.1	AGK07400.1
AGK07388.1	AGK07397.1
AGK07388.1	AGK07392.1
AGK07388.1	QSV11130.1
AGK07388.1	AGK07389.1
AGK07388.1	QSV11147.1
AGK07388.1	AFV32428.1
AGK07388.1	AOP17795.1
AGK07388.1	AOP17794.1
AGK07388.1	AGK07382.1
AGK07388.1	AOP17793.1
AGK07388.1	BAV14011.1
AGK07388.1	AGK07412.1
AGK07388.1	AGK07403.1
AGK07388.1	QSV11142.1
AGK07388.1	QSV11139.1
AGK07388.1	QSV11138.1
AGK07388.1	QAV56745.1
AGK07388.1	QSV11131.1
AGK07388.1	QSV11129.1
AGK07388.1	QSV11146.1
AGK07388.1	QSV11144.1
AGK07388.1	QSV11128.1
AGK07388.1	AGK07387.1
AGK07388.1	QSV11126.1
AGK07388.1	AGK07385.1
AGK07388.1	AGK07383.1
AGK07388.1	AFV32421.1
AGK07388.1	AFV32420.1
AGK07388.1	BAV14010.1
AGK07388.1	AGK07411.1
AGK07388.1	BAV14009.1
AGK07388.1	AGK07409.1
AGK07388.1	BAV14008.1
AGK07388.1	AGK07408.1
AGK07388.1	BAV14007.1
AGK07388.1	AGK07406.1
AGK07388.1	ALJ93789.1
AGK07388.1	ALJ93786.1
AGK07388.1	AGK07399.1
AGK07388.1	ALJ93785.1
AGK07388.1	QSV11137.1
AGK07388.1	ALJ93784.1
AGK07388.1	QAV56746.1
AGK07388.1	ALJ93783.1
AGK07388.1	AGK07395.1
AGK07388.1	ALJ93780.1
AGK07388.1	AFV32434.1
AGK07388.1	AOP17805.1
AGK07388.1	AOP17804.1
AGK07388.1	AFV32432.1
AGK07388.1	AOP17803.1
AGK07388.1	AGK07402.1
AGK07388.1	AFV32419.1
AGK07388.1	QSV11141.1
AGK07388.1	AGK07394.1
AGK07388.1	QSV11132.1
AGK07388.1	QSV11140.1
AGK07388.1	QAV56747.1
AGK07388.1	QSV11121.1
AGK07388.1	BAV14013.1
AGK07388.1	BAV14012.1
AGK07388.1	AGK07407.1
AGK07388.1	AFV32435.1
AGK07388.1	AGK07390.1
AGK07388.1	AFV32430.1
AGK07388.1	QSV11136.1
AGK07388.1	QSV11149.1
AGK07388.1	ALJ93781.1
AGK07388.1	AFV32423.1
AGK07388.1	AGK07393.1
AGK07388.1	QSV11118.1
AGK07388.1	AFV32431.1
AFM30834.1	AFM30834.1
AFM30834.1	AFM30833.1
AFM30834.1	AFM30832.1
AFM30834.1	AKH61373.1
AFM30834.1	AFM30831.1
AFM30834.1	AKH61372.1
AFM30834.1	AFM30830.1
AFM30834.1	AKH61358.1
AFM30834.1	AFM30829.1
AFM30834.1	AKH61355.1
AFM30834.1	AFM30828.1
AFM30834.1	AFM30827.1
AFM30834.1	ALR95921.1
AFM30834.1	ALR95920.1
AFM30834.1	AEW24500.1
AFM30834.1	AEW24499.1
AFM30834.1	AEW24498.1
AFM30834.1	UGO91508.1
AFM30834.1	AIT76255.1
AFM30834.1	AEW24497.1
AFM30834.1	AIT76253.1
AFM30834.1	AEW24496.1
AFM30834.1	AEW24495.1
AFM30834.1	QPB13319.1
AFM30834.1	QPA18425.1
AFM30834.1	QPA18423.1
AFM30834.1	AFM30836.1
AFM30834.1	AFM30835.1
AFK93952.1	AFK93952.1
AFK93952.1	AFK93948.1
AFK93952.1	AFK93935.1
AFK93952.1	AFK93928.1
AFK93952.1	AFK93925.1
AFK93952.1	AFK93921.1
AFK93952.1	AFK93955.1
AEC48446.1	AEC48446.1
AFH96898.1	AFH96898.1
AFH96898.1	QAB45202.1
AFH96898.1	AKG54774.1
AFH96898.1	AKG54768.1
AFH96898.1	AKG54797.1
AFH96898.1	AVD96863.1
AFH96898.1	AFH96904.1
AFH96898.1	AKG54791.1
AFH96898.1	AKG54789.1
QOD42474.1	QOD42474.1
QOD42474.1	YP_009666131.1
QOD42474.1	QDI06042.1
QOD42474.1	QDI06030.1
QOD42474.1	QOD42470.1
QOD42474.1	QDI06026.1
QOD42474.1	QDI06022.1
QOD42474.1	QDI06018.1
QOD42474.1	QDI06014.1
QOD42474.1	QDI06046.1
QOD39519.1	QOD39519.1
QOD39519.1	QOD39481.1
QOD39519.1	QOD39504.1
QOD39519.1	QOD39486.1
QOD39519.1	QOD39509.1
QNJ57215.1	QNJ57215.1
QMI57937.1	QMI57937.1
QMI57937.1	QMI57920.1
QKE54993.1	QKE54993.1
QKE54993.1	QKE55003.1
QKE54889.1	QKE54889.1
QKE54854.1	QKE54854.1
QIP76521.1	QIP76521.1
QIP76521.1	QIP76519.1
QIP76521.1	QIP76517.1
QIP76521.1	QIP76515.1
QIP76521.1	QIP76513.1
QIP76521.1	QIP76511.1
AYG97821.1	AYG97821.1
AQN78641.1	AQN78641.1
ABC68598.1	ABC68598.1
ABC68598.1	ABW06969.1
ABC68598.1	ABW06978.1
ABC68598.1	ABC70421.1
ABC68598.1	ABC68600.1
ABC68598.1	ABC70431.1
ABC68598.1	ABW06988.1
ABC68598.1	ABE96815.1
ABC68598.1	ABW06994.1
ABC68598.1	ALH07241.1
ABC68598.1	ABW06980.1
ABC68598.1	ABW06981.1
ABC68598.1	ABW06979.1
ABC68598.1	ABQ51206.1
ABC68598.1	AEM60344.1
ADA57452.1	ADA57452.1
ADA57452.1	ADA57454.1
ADA57452.1	ADA57453.1
ADA57452.1	ADA57451.1
ANN12655.1	ANN12655.1
AMD43089.1	AMD43089.1
AMD43089.1	AID57440.1
AMD43089.1	AID57439.1
AMD43089.1	ALF37565.1
AMD43089.1	ALF37564.1
AMD43089.1	ALF37563.1
AMD43089.1	ALF37561.1
AMD43089.1	ALF37560.1
AMD43089.1	ALF37559.1
AMD43089.1	ALF37558.1
AMD43089.1	AID57438.1
AMD43089.1	AID57437.1
AMD43089.1	AID57436.1
AMD43089.1	AID57435.1
AMD43089.1	AID57434.1
AMD43089.1	ACC95806.1
AMD43089.1	QOI91098.1
AMD43089.1	QOI91097.1
AMD43089.1	QOI91096.1
AMD43089.1	QOI91095.1
AMD43089.1	ACC95809.1
AMD43089.1	ACC95807.1
AMD43089.1	ACC95808.1
AMD43089.1	QOI91093.1
AMD43089.1	ACC95805.1
AMD43089.1	ACC95804.1
AMD43089.1	ACC95803.1
AMD43089.1	QOI91088.1
AMD43089.1	QOI91087.1
AMD43089.1	ABG20972.1
AMD43089.1	ALQ10761.1
AMD43089.1	AAF13292.1
AMD43089.1	AAF13291.1
AMD43089.1	AXF36008.1
AMD43089.1	ALQ10755.1
AMD43089.1	AXF36006.1
AMD43089.1	ALQ10752.1
AMD43089.1	ALT55188.1
AMD43089.1	ABG20975.1
AMD43089.1	QOI91103.1
AMD43089.1	QOI91102.1
AMD43089.1	QOI91100.1
AAK27439.1	AAK27439.1
AKI82151.1	AKI82151.1
ALF08130.1	ALF08130.1
AIC33899.1	AIC33899.1
AIC77177.1	AIC77177.1
AIC77177.1	AIC77178.1
AHF20137.1	AHF20137.1
AFY12601.1	AFY12601.1
AFY12601.1	ACS66691.1
AFY12601.1	AFY12598.1
AFY12601.1	QXT59678.1
CCP50074.1	CCP50074.1
CCP50074.1	ABF57656.1
CCP50074.1	ABF57652.1
CCP50074.1	ABF57650.1
CCP50074.1	ABF57649.1
CCP50074.1	ABF57647.1
CCP50074.1	AKJ85707.1
CCP50074.1	AKJ85702.1
AET35104.1	AET35104.1
AEI26258.1	AEI26258.1
AFD01603.1	AFD01603.1
AFD01603.1	AET35093.1
AFD01603.1	ABV71695.1
AFD01603.1	AFD01572.1
AFD01603.1	ACD71463.1
AFD01603.1	AET35077.1
AFD01603.1	AFD01594.1
AFD01603.1	AFD01592.1
AFD01603.1	AFD01589.1
AFD01603.1	ABV71711.1
AFD01603.1	ADN44561.1
AFH02730.1	AFH02730.1
ABU50790.1	ABU50790.1
ABU50790.1	ABU50792.1
ABU50790.1	AND81245.1
BAC22745.1	BAC22745.1
BAC22745.1	BAC22746.1
NP_874375.1	NP_874375.1
NP_874375.1	ALL74041.1
UGV24203.1	UGV24203.1
UGV24203.1	UGV24204.1
UGV24203.1	NP_874382.1
UGV24203.1	AFC75859.1
UGV24203.1	YP_009310054.1
UGV24203.1	QJI53743.1
UGV24203.1	QHY93493.1
UGV24203.1	AXQ04856.1
UGV24203.1	QJI53736.1
UGV24203.1	QJI53731.1
UAX26224.1	UAX26224.1
QYW06828.1	QYW06828.1
AIC33897.1	AIC33897.1
AIC33897.1	QBA84589.1
AGT28118.1	AGT28118.1
AGT28118.1	AGT28195.1
AGT28118.1	AGT28234.1
AGT28118.1	AAG16690.1
AGT28118.1	AGT28089.1
AGT28118.1	AGT28129.1
AGT28118.1	AGT28190.1
AGT28118.1	AGT28216.1
AGT28118.1	AGT28067.1
CDF81379.1	CDF81379.1
AET35101.1	AET35101.1
AEI26256.1	AEI26256.1
AFH02763.1	AFH02763.1
ADI58418.1	ADI58418.1
ACD71466.1	ACD71466.1
ACD71466.1	ACD71476.1
CAA03196.1	CAA03196.1
UCS96324.1	UCS96324.1
QVW56828.1	QVW56828.1
QTE04121.1	QTE04121.1
QTE04121.1	QVW56861.1
QTE04121.1	QTE04085.1
QTE04121.1	QTZ83178.1
QTE04121.1	QOR29552.1
QTE04121.1	QVW56812.1
QTE04121.1	QTE03799.1
QTE04057.1	QTE04057.1
QTE03929.1	QTE03929.1
QTE03929.1	UCS96304.1
QTE03929.1	QRK69409.1
QTE03897.1	QTE03897.1
QOT13772.1	QOT13772.1
QOT13772.1	QYW06836.1
QOT13772.1	QYW06831.1
QRK03725.1	QRK03725.1
QOD39580.1	QOD39580.1
QOD39580.1	QOD39520.1
QOD39580.1	QOD39559.1
QOD39580.1	QRG24235.1
QOD39580.1	QOD39527.1
QOD39580.1	QOD39551.1
QOD39580.1	QOD39501.1
QOD39580.1	QOD39531.1
QOD39580.1	QHG62572.1
QOD39580.1	QOD39555.1
QOD39580.1	QRQ90276.1
QOD39580.1	YP_009134734.1
QOD39580.1	QRG24238.1
QOD39580.1	QOD39600.1
QOD39580.1	QOD39609.1
QOD39580.1	QOD39572.1
QOD39580.1	QOD39535.1
QOD39580.1	ARI46484.1
QOD39580.1	QOD39543.1
QOD39580.1	QOD39542.1
QOD39580.1	QOD39596.1
